Date,U.S. Exports of Crude Oil (Thousand Barrels),U.S. Imports of Crude Oil (Thousand Barrels),U.S. Field Production of Crude Oil (Thousand Barrels),U.S. Field Production of Crude Oil (Thousand Barrels per Day),U.S. Imports from Saudi Arabia of Crude Oil (Thousand Barrels),U.S. Crude Oil Rotary Rigs in Operation (Count),**U.S. Ending Stocks of Crude Oil (Thousand Barrels),"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",U.S. Crude Oil Stocks at Refineries (Thousand Barrels),U.S. Gross Inputs to Refineries (Thousand Barrels Per Day),U.S. Product Supplied of Crude Oil (Thousand Barrels)
,,,,,,,,,,,
Jan-1920,469,6294,34008,1097,,,,,,,
,,,,,,,,,,,
Feb-1920,853,4940,33193,1145,,,,,,,
,,,,,,,,,,,
Mar-1920,892,6503,36171,1167,,,,,,,
,,,,,,,,,,,
Apr-1920,693,6186,34945,1165,,,,,,,
,,,,,,,,,,,
May-1920,761,6966,36622,1181,,,,,,,
,,,,,,,,,,,
Jun-1920,627,8120,36663,1222,,,,,,,
,,,,,,,,,,,
Jul-1920,723,6768,37746,1218,,,,,,,
,,,,,,,,,,,
Aug-1920,553,10791,38906,1255,,,,,,,
,,,,,,,,,,,
Sep-1920,790,11650,37521,1251,,,,,,,
,,,,,,,,,,,
Oct-1920,777,11361,39584,1277,,,,,,,
,,,,,,,,,,,
Nov-1920,796,13750,38609,1287,,,,,,,
,,,,,,,,,,,
Dec-1920,823,12846,38961,1257,,,,,,,
,,,,,,,,,,,
Jan-1921,743,13258,38138,1230,,,,,,,
,,,,,,,,,,,
Feb-1921,794,11384,35524,1269,,,,,,,
,,,,,,,,,,,
Mar-1921,750,12303,41105,1326,,,,,,,
,,,,,,,,,,,
Apr-1921,748,10104,40233,1341,,,,,,,
,,,,,,,,,,,
May-1921,874,9148,42189,1361,,,,,,,
,,,,,,,,,,,
Jun-1921,586,10255,40548,1352,,,,,,,
,,,,,,,,,,,
Jul-1921,538,8047,40461,1305,,,,,,,
,,,,,,,,,,,
Aug-1921,885,3352,41109,1326,,,,,,,
,,,,,,,,,,,
Sep-1921,881,9139,36763,1225,,,,,,,
,,,,,,,,,,,
Oct-1921,747,11635,35832,1156,,,,,,,
,,,,,,,,,,,
Nov-1921,869,12986,38108,1270,,,,,,,
,,,,,,,,,,,
Dec-1921,525,13753,42173,1360,,,,,,,
,,,,,,,,,,,
Jan-1922,727,13107,43696,1410,,,,,,,
,,,,,,,,,,,
Feb-1922,583,12077,41314,1476,,,,,,,
,,,,,,,,,,,
Mar-1922,806,14004,47188,1522,,,,,,,
,,,,,,,,,,,
Apr-1922,924,11659,45167,1506,,,,,,,
,,,,,,,,,,,
May-1922,771,14018,47002,1516,,,,,,,
,,,,,,,,,,,
Jun-1922,826,12182,46087,1536,,,,,,,
,,,,,,,,,,,
Jul-1922,893,10493,47134,1520,,,,,,,
,,,,,,,,,,,
Aug-1922,764,10279,47059,1518,,,,,,,
,,,,,,,,,,,
Sep-1922,1127,4812,45805,1527,,,,,,,
,,,,,,,,,,,
Oct-1922,741,10082,48410,1562,,,,,,,
,,,,,,,,,,,
Nov-1922,879,7429,48027,1601,,,,,,,
,,,,,,,,,,,
Dec-1922,1122,7166,50642,1634,,,,,,,
,,,,,,,,,,,
Jan-1923,762,7307,52527,1694,,,,,,,
,,,,,,,,,,,
Feb-1923,666,6199,48588,1735,,,,,,,
,,,,,,,,,,,
Mar-1923,1028,8058,56969,1838,,,,,,,
,,,,,,,,,,,
Apr-1923,1511,6617,59008,1967,,,,,,,
,,,,,,,,,,,
May-1923,1324,5995,62377,2012,,,,,,,
,,,,,,,,,,,
Jun-1923,2598,5996,62845,2095,,,,,,,
,,,,,,,,,,,
Jul-1923,1547,6915,65925,2127,,,,,,,
,,,,,,,,,,,
Aug-1923,1542,7580,66422,2143,,,,,,,
,,,,,,,,,,,
Sep-1923,1592,6021,65306,2177,,,,,,,
,,,,,,,,,,,
Oct-1923,1315,6825,67506,2178,,,,,,,
,,,,,,,,,,,
Nov-1923,1397,6085,65388,2180,,,,,,,
,,,,,,,,,,,
Dec-1923,2103,8417,59546,1921,,,,,,,
,,,,,,,,,,,
Jan-1924,1528,6303,57273,1848,,,,,,,
,,,,,,,,,,,
Feb-1924,1680,6511,55889,1927,,,,,,,
,,,,,,,,,,,
Mar-1924,1550,8631,60141,1940,,,,,,,
,,,,,,,,,,,
Apr-1924,1547,7297,59830,1994,,,,,,,
,,,,,,,,,,,
May-1924,1858,7393,61834,1995,,,,,,,
,,,,,,,,,,,
Jun-1924,1542,6660,59583,1986,,,,,,,
,,,,,,,,,,,
Jul-1924,1409,6502,61932,1998,,,,,,,
,,,,,,,,,,,
Aug-1924,1242,5762,62398,2013,,,,,,,
,,,,,,,,,,,
Sep-1924,1893,5354,60376,2013,,,,,,,
,,,,,,,,,,,
Oct-1924,1488,4872,60469,1951,,,,,,,
,,,,,,,,,,,
Nov-1924,1453,6649,56782,1893,,,,,,,
,,,,,,,,,,,
Dec-1924,1049,5841,57433,1853,,,,,,,
,,,,,,,,,,,
Jan-1925,1149,7025,53802,1736,,,,,,,
,,,,,,,,,,,
Feb-1925,1122,5579,48571,1735,,,,,,,
,,,,,,,,,,,
Mar-1925,1058,6375,53597,1729,,,,,,,
,,,,,,,,,,,
Apr-1925,798,5482,51914,1730,,,,,,,
,,,,,,,,,,,
May-1925,1356,6484,53367,1722,,,,,,,
,,,,,,,,,,,
Jun-1925,1255,5153,51915,1731,,,,,,,
,,,,,,,,,,,
Jul-1925,1302,4155,52138,1682,,,,,,,
,,,,,,,,,,,
Aug-1925,1465,4045,52198,1684,,,,,,,
,,,,,,,,,,,
Sep-1925,923,4027,51559,1719,,,,,,,
,,,,,,,,,,,
Oct-1925,1292,4367,51769,1670,,,,,,,
,,,,,,,,,,,
Nov-1925,740,4891,49921,1664,,,,,,,
,,,,,,,,,,,
Dec-1925,877,4241,49622,1601,,,,,,,
,,,,,,,,,,,
Jan-1926,1183,4688,59981,1935,,,,,,,
,,,,,,,,,,,
Feb-1926,1049,3743,54892,1960,,,,,,,
,,,,,,,,,,,
Mar-1926,965,7216,60880,1964,,,,,,,
,,,,,,,,,,,
Apr-1926,1308,5906,60371,2012,,,,,,,
,,,,,,,,,,,
May-1926,1842,4501,62822,2027,,,,,,,
,,,,,,,,,,,
Jun-1926,1226,5571,61789,2060,,,,,,,
,,,,,,,,,,,
Jul-1926,1726,5185,65168,2102,,,,,,,
,,,,,,,,,,,
Aug-1926,1083,5332,67009,2162,,,,,,,
,,,,,,,,,,,
Sep-1926,1388,4350,65782,2193,,,,,,,
,,,,,,,,,,,
Oct-1926,1010,3860,69664,2247,,,,,,,
,,,,,,,,,,,
Nov-1926,1344,5043,69891,2330,,,,,,,
,,,,,,,,,,,
Dec-1926,1283,4987,72625,2343,,,,,,,
,,,,,,,,,,,
Jan-1927,1204,4593,71758,2315,,,,,,,
,,,,,,,,,,,
Feb-1927,1165,4181,68122,2433,,,,,,,
,,,,,,,,,,,
Mar-1927,1199,4582,75514,2436,,,,,,,
,,,,,,,,,,,
Apr-1927,1171,4063,73132,2438,,,,,,,
,,,,,,,,,,,
May-1927,1390,4557,76845,2479,,,,,,,
,,,,,,,,,,,
Jun-1927,1411,4019,75303,2510,,,,,,,
,,,,,,,,,,,
Jul-1927,1089,4823,78780,2541,,,,,,,
,,,,,,,,,,,
Aug-1927,1382,6261,78788,2542,,,,,,,
,,,,,,,,,,,
Sep-1927,1297,5122,75909,2530,,,,,,,
,,,,,,,,,,,
Oct-1927,1539,4699,77534,2501,,,,,,,
,,,,,,,,,,,
Nov-1927,1280,5339,74493,2483,,,,,,,
,,,,,,,,,,,
Dec-1927,1717,6210,74951,2418,,,,,,,
,,,,,,,,,,,
Jan-1928,1225,6330,72793,2348,,,,,,,
,,,,,,,,,,,
Feb-1928,1243,6036,68565,2364,,,,,,,
,,,,,,,,,,,
Mar-1928,1530,6845,74528,2404,,,,,,,
,,,,,,,,,,,
Apr-1928,1303,5661,72393,2413,,,,,,,
,,,,,,,,,,,
May-1928,1493,6766,75277,2428,,,,,,,
,,,,,,,,,,,
Jun-1928,1879,6553,72676,2423,,,,,,,
,,,,,,,,,,,
Jul-1928,1669,7878,75584,2438,,,,,,,
,,,,,,,,,,,
Aug-1928,1883,6141,77807,2510,,,,,,,
,,,,,,,,,,,
Sep-1928,1506,7139,76484,2549,,,,,,,
,,,,,,,,,,,
Oct-1928,2015,6703,79751,2573,,,,,,,
,,,,,,,,,,,
Nov-1928,1691,6908,76123,2537,,,,,,,
,,,,,,,,,,,
Dec-1928,1529,6807,79493,2564,,,,,,,
,,,,,,,,,,,
Jan-1929,1972,8075,82054,2647,,,,,,,
,,,,,,,,,,,
Feb-1929,1678,7016,75456,2695,,,,,,,
,,,,,,,,,,,
Mar-1929,1600,6790,82463,2660,,,,,,,
,,,,,,,,,,,
Apr-1929,1726,7828,80412,2680,,,,,,,
,,,,,,,,,,,
May-1929,1932,7552,84499,2726,,,,,,,
,,,,,,,,,,,
Jun-1929,2615,6591,83407,2780,,,,,,,
,,,,,,,,,,,
Jul-1929,3117,6122,91309,2945,,,,,,,
,,,,,,,,,,,
Aug-1929,2236,5800,92165,2973,,,,,,,
,,,,,,,,,,,
Sep-1929,1988,6953,87453,2915,,,,,,,
,,,,,,,,,,,
Oct-1929,2869,5766,88430,2853,,,,,,,
,,,,,,,,,,,
Nov-1929,2579,4554,78758,2625,,,,,,,
,,,,,,,,,,,
Dec-1929,2089,5886,80917,2610,,,,,,,
,,,,,,,,,,,
Jan-1930,1808,5450,79633,2569,,,,,,,
,,,,,,,,,,,
Feb-1930,1731,4321,74290,2653,,,,,,,
,,,,,,,,,,,
Mar-1930,1944,4827,78226,2523,,,,,,,
,,,,,,,,,,,
Apr-1930,1900,5781,77483,2583,,,,,,,
,,,,,,,,,,,
May-1930,2202,4984,80528,2598,,,,,,,
,,,,,,,,,,,
Jun-1930,2508,5767,77060,2569,,,,,,,
,,,,,,,,,,,
Jul-1930,1973,5877,76922,2481,,,,,,,
,,,,,,,,,,,
Aug-1930,2407,5059,74831,2414,,,,,,,
,,,,,,,,,,,
Sep-1930,1961,5808,71216,2374,,,,,,,
,,,,,,,,,,,
Oct-1930,2167,5061,72893,2351,,,,,,,
,,,,,,,,,,,
Nov-1930,1765,4467,67957,2265,,,,,,,
,,,,,,,,,,,
Dec-1930,1339,4727,66972,2160,,,,,,,
,,,,,,,,,,,
Jan-1931,1919,4353,65737,2121,,,,,,,
,,,,,,,,,,,
Feb-1931,1710,4789,60540,2162,,,,,,,
,,,,,,,,,,,
Mar-1931,1586,3715,69429,2240,,,,,,,
,,,,,,,,,,,
Apr-1931,1826,4162,72860,2429,,,,,,,
,,,,,,,,,,,
May-1931,2268,4512,76822,2478,,,,,,,
,,,,,,,,,,,
Jun-1931,2544,3978,75011,2500,,,,,,,
,,,,,,,,,,,
Jul-1931,2621,3588,78210,2523,,,,,,,
,,,,,,,,,,,
Aug-1931,2856,2702,68014,2194,,,,,,,
,,,,,,,,,,,
Sep-1931,2296,3426,64378,2146,,,,,,,
,,,,,,,,,,,
Oct-1931,2389,4106,73297,2364,,,,,,,
,,,,,,,,,,,
Nov-1931,2449,3604,73456,2449,,,,,,,
,,,,,,,,,,,
Dec-1931,1071,4315,73327,2365,,,,,,,
,,,,,,,,,,,
Jan-1932,1592,2047,67014,2162,,,,,,,
,,,,,,,,,,,
Feb-1932,1897,4707,62512,2156,,,,,,,
,,,,,,,,,,,
Mar-1932,2090,4840,67456,2176,,,,,,,
,,,,,,,,,,,
Apr-1932,2867,7690,67915,2264,,,,,,,
,,,,,,,,,,,
May-1932,2942,5089,68854,2221,,,,,,,
,,,,,,,,,,,
Jun-1932,2791,7865,65144,2171,,,,,,,
,,,,,,,,,,,
Jul-1932,2249,1525,66655,2150,,,,,,,
,,,,,,,,,,,
Aug-1932,2839,1862,66568,2147,,,,,,,
,,,,,,,,,,,
Sep-1932,2113,1893,65518,2184,,,,,,,
,,,,,,,,,,,
Oct-1932,2541,2455,65598,2116,,,,,,,
,,,,,,,,,,,
Nov-1932,1318,1963,63630,2121,,,,,,,
,,,,,,,,,,,
Dec-1932,2154,2746,58295,1880,,,,,,,
,,,,,,,,,,,
Jan-1933,1913,2831,65159,2102,,,,,,,
,,,,,,,,,,,
Feb-1933,1886,2369,61252,2188,,,,,,,
,,,,,,,,,,,
Mar-1933,2137,3802,75185,2425,,,,,,,
,,,,,,,,,,,
Apr-1933,2939,2910,65709,2190,,,,,,,
,,,,,,,,,,,
May-1933,2679,2207,86638,2795,,,,,,,
,,,,,,,,,,,
Jun-1933,4355,2143,84386,2813,,,,,,,
,,,,,,,,,,,
Jul-1933,4523,3410,85321,2752,,,,,,,
,,,,,,,,,,,
Aug-1933,3141,3674,85485,2758,,,,,,,
,,,,,,,,,,,
Sep-1933,3182,2069,78321,2611,,,,,,,
,,,,,,,,,,,
Oct-1933,3888,1727,76077,2454,,,,,,,
,,,,,,,,,,,
Nov-1933,3305,1875,69966,2332,,,,,,,
,,,,,,,,,,,
Dec-1933,2636,2876,72157,2328,,,,,,,
,,,,,,,,,,,
Jan-1934,2288,2800,72017,2323,,,,,,,
,,,,,,,,,,,
Feb-1934,2511,3031,65383,2335,,,,,,,
,,,,,,,,,,,
Mar-1934,2582,2410,75426,2433,,,,,,,
,,,,,,,,,,,
Apr-1934,3942,2845,75645,2522,,,,,,,
,,,,,,,,,,,
May-1934,3724,3012,79966,2580,,,,,,,
,,,,,,,,,,,
Jun-1934,3794,3787,79636,2655,,,,,,,
,,,,,,,,,,,
Jul-1934,4128,3001,81339,2624,,,,,,,
,,,,,,,,,,,
Aug-1934,3696,2746,79105,2552,,,,,,,
,,,,,,,,,,,
Sep-1934,4068,2928,75759,2525,,,,,,,
,,,,,,,,,,,
Oct-1934,3277,2884,76593,2471,,,,,,,
,,,,,,,,,,,
Nov-1934,4680,2815,72399,2413,,,,,,,
,,,,,,,,,,,
Dec-1934,2437,3199,74797,2413,,,,,,,
,,,,,,,,,,,
Jan-1935,2369,2011,78715,2539,,,,,,,
,,,,,,,,,,,
Feb-1935,2804,1903,72763,2599,,,,,,,
,,,,,,,,,,,
Mar-1935,3281,2608,81488,2629,,,,,,,
,,,,,,,,,,,
Apr-1935,3776,2599,78427,2614,,,,,,,
,,,,,,,,,,,
May-1935,4613,3433,82454,2660,,,,,,,
,,,,,,,,,,,
Jun-1935,5589,2848,82338,2745,,,,,,,
,,,,,,,,,,,
Jul-1935,5832,2520,85485,2758,,,,,,,
,,,,,,,,,,,
Aug-1935,4946,3354,84816,2736,,,,,,,
,,,,,,,,,,,
Sep-1935,4971,2908,84109,2804,,,,,,,
,,,,,,,,,,,
Oct-1935,4810,2477,88160,2844,,,,,,,
,,,,,,,,,,,
Nov-1935,4289,2242,86476,2883,,,,,,,
,,,,,,,,,,,
Dec-1935,4098,3336,88711,2862,,,,,,,
,,,,,,,,,,,
Jan-1936,3067,1875,88820,2865,,,,,,,
,,,,,,,,,,,
Feb-1936,3474,2626,82120,2832,,,,,,,
,,,,,,,,,,,
Mar-1936,3155,2446,90568,2922,,,,,,,
,,,,,,,,,,,
Apr-1936,3743,2857,90479,3016,,,,,,,
,,,,,,,,,,,
May-1936,4390,3049,93739,3024,,,,,,,
,,,,,,,,,,,
Jun-1936,4792,2649,90185,3006,,,,,,,
,,,,,,,,,,,
Jul-1936,4458,2647,92075,2970,,,,,,,
,,,,,,,,,,,
Aug-1936,5561,3009,95090,3067,,,,,,,
,,,,,,,,,,,
Sep-1936,5025,2844,90972,3032,,,,,,,
,,,,,,,,,,,
Oct-1936,4708,2955,95795,3090,,,,,,,
,,,,,,,,,,,
Nov-1936,4145,2756,91018,3034,,,,,,,
,,,,,,,,,,,
Dec-1936,3666,2614,97652,3150,,,,,,,
,,,,,,,,,,,
Jan-1937,3596,1129,98567,3180,,,,,,,
,,,,,,,,,,,
Feb-1937,3777,603,93173,3328,,,,,,,
,,,,,,,,,,,
Mar-1937,3196,2058,106724,3443,,,,,,,
,,,,,,,,,,,
Apr-1937,4899,2614,104979,3499,,,,,,,
,,,,,,,,,,,
May-1937,6796,2638,110911,3578,,,,,,,
,,,,,,,,,,,
Jun-1937,6181,2695,105812,3527,,,,,,,
,,,,,,,,,,,
Jul-1937,6363,3199,110721,3572,,,,,,,
,,,,,,,,,,,
Aug-1937,7423,2945,115090,3713,,,,,,,
,,,,,,,,,,,
Sep-1937,6602,2351,109980,3666,,,,,,,
,,,,,,,,,,,
Oct-1937,6692,2435,110911,3578,,,,,,,
,,,,,,,,,,,
Nov-1937,6645,2425,104206,3474,,,,,,,
,,,,,,,,,,,
Dec-1937,5116,2392,106579,3438,,,,,,,
,,,,,,,,,,,
Jan-1938,5953,2095,106007,3420,,,,,,,
,,,,,,,,,,,
Feb-1938,5328,1883,94662,3381,,,,,,,
,,,,,,,,,,,
Mar-1938,6121,2569,106524,3436,,,,,,,
,,,,,,,,,,,
Apr-1938,7553,1827,102702,3423,,,,,,,
,,,,,,,,,,,
May-1938,7798,2081,98674,3183,,,,,,,
,,,,,,,,,,,
Jun-1938,7424,2192,94277,3143,,,,,,,
,,,,,,,,,,,
Jul-1938,7250,2565,102898,3319,,,,,,,
,,,,,,,,,,,
Aug-1938,7003,1714,106165,3425,,,,,,,
,,,,,,,,,,,
Sep-1938,5577,1574,98661,3289,,,,,,,
,,,,,,,,,,,
Oct-1938,6780,2693,101830,3285,,,,,,,
,,,,,,,,,,,
Nov-1938,5602,2359,98567,3286,,,,,,,
,,,,,,,,,,,
Dec-1938,4884,2860,102287,3300,,,,,,,
,,,,,,,,,,,
Jan-1939,4477,1868,102490,3306,,,,,,,
,,,,,,,,,,,
Feb-1939,4810,1598,93475,3338,,,,,,,
,,,,,,,,,,,
Mar-1939,4966,1630,106768,3444,,,,,,,
,,,,,,,,,,,
Apr-1939,6222,2932,105510,3517,,,,,,,
,,,,,,,,,,,
May-1939,8643,3928,110541,3566,,,,,,,
,,,,,,,,,,,
Jun-1939,5831,3664,104607,3487,,,,,,,
,,,,,,,,,,,
Jul-1939,7304,2934,110937,3579,,,,,,,
,,,,,,,,,,,
Aug-1939,5969,2898,80865,2609,,,,,,,
,,,,,,,,,,,
Sep-1939,6925,3084,108168,3606,,,,,,,
,,,,,,,,,,,
Oct-1939,6947,3099,114198,3684,,,,,,,
,,,,,,,,,,,
Nov-1939,5323,3132,111887,3730,,,,,,,
,,,,,,,,,,,
Dec-1939,4656,2328,114810,3704,,,,,,,
,,,,,,,,,,,
Jan-1940,2031,1950,117227,3782,,,,,,,
,,,,,,,,,,,
Feb-1940,1781,2267,108399,3738,,,,,,,
,,,,,,,,,,,
Mar-1940,2618,2895,121560,3921,,,,,,,
,,,,,,,,,,,
Apr-1940,2877,3169,119000,3967,,,,,,,
,,,,,,,,,,,
May-1940,4389,4097,123854,3995,,,,,,,
,,,,,,,,,,,
Jun-1940,3876,3688,119302,3977,,,,,,,
,,,,,,,,,,,
Jul-1940,4597,3981,127493,4113,,,,,,,
,,,,,,,,,,,
Aug-1940,3862,4223,130633,4214,,,,,,,
,,,,,,,,,,,
Sep-1940,3441,3912,130407,4347,,,,,,,
,,,,,,,,,,,
Oct-1940,3370,3815,136503,4403,,,,,,,
,,,,,,,,,,,
Nov-1940,3415,3932,133646,4455,,,,,,,
,,,,,,,,,,,
Dec-1940,2084,4733,135152,4360,,,,,,,
,,,,,,,,,,,
Jan-1941,1687,2793,110647,3569,,,,,,,
,,,,,,,,,,,
Feb-1941,1342,3371,100791,3600,,,,,,,
,,,,,,,,,,,
Mar-1941,1988,3821,112817,3639,,,,,,,
,,,,,,,,,,,
Apr-1941,2503,3831,111080,3703,,,,,,,
,,,,,,,,,,,
May-1941,4339,3866,116976,3773,,,,,,,
,,,,,,,,,,,
Jun-1941,3934,4332,115027,3834,,,,,,,
,,,,,,,,,,,
Jul-1941,3651,5331,118251,3815,,,,,,,
,,,,,,,,,,,
Aug-1941,3275,4327,121354,3915,,,,,,,
,,,,,,,,,,,
Sep-1941,2900,4662,119446,3982,,,,,,,
,,,,,,,,,,,
Oct-1941,2540,4757,126145,4069,,,,,,,
,,,,,,,,,,,
Nov-1941,2539,4757,123355,4112,,,,,,,
,,,,,,,,,,,
Dec-1941,2540,4758,128293,4138,,,,,,,
,,,,,,,,,,,
Jan-1942,1522,3554,128262,4137,,,,,,,
,,,,,,,,,,,
Feb-1942,1336,3068,113961,4070,,,,,,,
,,,,,,,,,,,
Mar-1942,1887,2058,114473,3693,,,,,,,
,,,,,,,,,,,
Apr-1942,2973,1109,105053,3502,,,,,,,
,,,,,,,,,,,
May-1942,3709,849,110192,3555,,,,,,,
,,,,,,,,,,,
Jun-1942,3591,540,108595,3620,,,,,,,
,,,,,,,,,,,
Jul-1942,3370,135,111782,3606,,,,,,,
,,,,,,,,,,,
Aug-1942,4073,315,120429,3885,,,,,,,
,,,,,,,,,,,
Sep-1942,3240,236,115801,3860,,,,,,,
,,,,,,,,,,,
Oct-1942,3264,111,120311,3881,,,,,,,
,,,,,,,,,,,
Nov-1942,2826,74,116101,3870,,,,,,,
,,,,,,,,,,,
Dec-1942,2043,248,120519,3888,,,,,,,
,,,,,,,,,,,
Jan-1943,2017,254,117372,3786,,,,,,,
,,,,,,,,,,,
Feb-1943,2416,0,108487,3875,,,,,,,
,,,,,,,,,,,
Mar-1943,2469,138,121648,3924,,,,,,,
,,,,,,,,,,,
Apr-1943,4155,179,119100,3970,,,,,,,
,,,,,,,,,,,
May-1943,4707,72,123957,3999,,,,,,,
,,,,,,,,,,,
Jun-1943,4325,454,120111,4004,,,,,,,
,,,,,,,,,,,
Jul-1943,4932,122,127629,4117,,,,,,,
,,,,,,,,,,,
Aug-1943,4011,2036,130796,4219,,,,,,,
,,,,,,,,,,,
Sep-1943,3441,1568,130564,4352,,,,,,,
,,,,,,,,,,,
Oct-1943,3370,2797,136837,4414,,,,,,,
,,,,,,,,,,,
Nov-1943,3415,2740,133824,4461,,,,,,,
,,,,,,,,,,,
Dec-1943,2084,3473,135288,4364,,,,,,,
,,,,,,,,,,,
Jan-1944,2488,3083,135682,4377,,,,,,,
,,,,,,,,,,,
Feb-1944,1904,3183,128842,4443,,,,,,,
,,,,,,,,,,,
Mar-1944,2105,2281,136814,4413,,,,,,,
,,,,,,,,,,,
Apr-1944,2891,3371,133588,4453,,,,,,,
,,,,,,,,,,,
May-1944,3136,4217,141189,4554,,,,,,,
,,,,,,,,,,,
Jun-1944,3642,3719,137263,4575,,,,,,,
,,,,,,,,,,,
Jul-1944,3516,3195,141438,4563,,,,,,,
,,,,,,,,,,,
Aug-1944,3387,4975,145407,4691,,,,,,,
,,,,,,,,,,,
Sep-1944,3354,3802,142985,4766,,,,,,,
,,,,,,,,,,,
Oct-1944,2990,5585,146911,4739,,,,,,,
,,,,,,,,,,,
Nov-1944,3001,3377,142463,4749,,,,,,,
,,,,,,,,,,,
Dec-1944,1824,4027,145322,4688,,,,,,,
,,,,,,,,,,,
Jan-1945,1302,3969,147446,4756,,,,,,,
,,,,,,,,,,,
Feb-1945,1599,3939,133463,4767,,,,,,,
,,,,,,,,,,,
Mar-1945,1973,6197,148935,4804,,,,,,,
,,,,,,,,,,,
Apr-1945,2663,5151,144219,4807,,,,,,,
,,,,,,,,,,,
May-1945,3208,6621,151180,4877,,,,,,,
,,,,,,,,,,,
Jun-1945,2915,5620,145783,4859,,,,,,,
,,,,,,,,,,,
Jul-1945,3533,7601,151803,4897,,,,,,,
,,,,,,,,,,,
Aug-1945,3308,7230,151198,4877,,,,,,,
,,,,,,,,,,,
Sep-1945,3166,5759,132690,4423,,,,,,,
,,,,,,,,,,,
Oct-1945,3603,7347,132800,4284,,,,,,,
,,,,,,,,,,,
Nov-1945,3399,7395,135511,4517,,,,,,,
,,,,,,,,,,,
Dec-1945,2329,7508,138627,4472,,,,,,,
,,,,,,,,,,,
Jan-1946,1932,6917,143368,4625,,,,,,,
,,,,,,,,,,,
Feb-1946,1997,6787,132129,4719,,,,,,,
,,,,,,,,,,,
Mar-1946,2720,6812,136835,4414,,,,,,,
,,,,,,,,,,,
Apr-1946,3618,7466,140196,4673,,,,,,,
,,,,,,,,,,,
May-1946,3614,7508,148334,4785,,,,,,,
,,,,,,,,,,,
Jun-1946,3323,6880,146890,4896,,,,,,,
,,,,,,,,,,,
Jul-1946,4290,6978,152586,4922,,,,,,,
,,,,,,,,,,,
Aug-1946,4368,8296,149910,4836,,,,,,,
,,,,,,,,,,,
Sep-1946,4152,7508,143708,4790,,,,,,,
,,,,,,,,,,,
Oct-1946,4244,7001,148323,4785,,,,,,,
,,,,,,,,,,,
Nov-1946,3325,6852,144674,4822,,,,,,,
,,,,,,,,,,,
Dec-1946,3167,7061,146471,4725,,,,,,,
,,,,,,,,,,,
Jan-1947,2481,7763,144823,4672,,,,,,,
,,,,,,,,,,,
Feb-1947,2585,8444,134696,4811,,,,,,,
,,,,,,,,,,,
Mar-1947,3257,9263,152178,4909,,,,,,,
,,,,,,,,,,,
Apr-1947,3999,7276,149410,4980,,,,,,,
,,,,,,,,,,,
May-1947,4789,8703,156055,5034,,,,,,,
,,,,,,,,,,,
Jun-1947,3758,7628,153058,5102,,,,,,,
,,,,,,,,,,,
Jul-1947,5184,7294,159366,5141,,,,,,,
,,,,,,,,,,,
Aug-1947,4139,8242,160448,5176,,,,,,,
,,,,,,,,,,,
Sep-1947,4087,8658,157665,5256,,,,,,,
,,,,,,,,,,,
Oct-1947,3712,7761,165032,5324,,,,,,,
,,,,,,,,,,,
Nov-1947,3844,7688,158701,5290,,,,,,,
,,,,,,,,,,,
Dec-1947,4520,8812,165555,5340,,,,,,,
,,,,,,,,,,,
Jan-1948,2992,8427,164098,5293,,,,,,,
,,,,,,,,,,,
Feb-1948,2626,8354,155577,5365,,,,,,,
,,,,,,,,,,,
Mar-1948,3138,8682,167868,5415,,,,,,,
,,,,,,,,,,,
Apr-1948,3538,9757,164726,5491,,,,,,,
,,,,,,,,,,,
May-1948,3362,10293,170705,5507,,,,,,,
,,,,,,,,,,,
Jun-1948,3419,9749,166448,5548,,,,,,,
,,,,,,,,,,,
Jul-1948,3661,11478,171369,5528,,,,,,,
,,,,,,,,,,,
Aug-1948,3974,10883,173015,5581,,,,,,,
,,,,,,,,,,,
Sep-1948,3362,11428,163244,5441,,,,,,,
,,,,,,,,,,,
Oct-1948,3404,12572,174972,5644,,,,,,,
,,,,,,,,,,,
Nov-1948,3192,12923,170777,5693,,,,,,,
,,,,,,,,,,,
Dec-1948,3068,14547,177386,5722,,,,,,,
,,,,,,,,,,,
Jan-1949,2127,14131,167016,5388,,,,,,,
,,,,,,,,,,,
Feb-1949,1942,12547,150682,5382,,,,,,,
,,,,,,,,,,,
Mar-1949,1866,11085,162399,5239,,,,,,,
,,,,,,,,,,,
Apr-1949,3655,11952,150343,5011,,,,,,,
,,,,,,,,,,,
May-1949,2872,12669,154250,4976,,,,,,,
,,,,,,,,,,,
Jun-1949,3071,11678,147283,4909,,,,,,,
