Date,U.S. Exports of Crude Oil (Thousand Barrels),U.S. Imports of Crude Oil (Thousand Barrels),U.S. Field Production of Crude Oil (Thousand Barrels),U.S. Field Production of Crude Oil (Thousand Barrels per Day),U.S. Imports from Saudi Arabia of Crude Oil (Thousand Barrels),U.S. Crude Oil Rotary Rigs in Operation (Count),**U.S. Ending Stocks of Crude Oil (Thousand Barrels),"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",U.S. Crude Oil Stocks at Refineries (Thousand Barrels),U.S. Gross Inputs to Refineries (Thousand Barrels Per Day),U.S. Product Supplied of Crude Oil (Thousand Barrels)
,,,,,,,,,,,
Jul-1949,2866,12988,145530,4695,,,,,,,
,,,,,,,,,,,
Aug-1949,3403,12472,148356,4786,,,,,,,
,,,,,,,,,,,
Sep-1949,2619,10845,148286,4943,,,,,,,
,,,,,,,,,,,
Oct-1949,2916,15242,155469,5015,,,,,,,
,,,,,,,,,,,
Nov-1949,3010,13036,156496,5217,,,,,,,
,,,,,,,,,,,
Dec-1949,2722,15041,155830,5027,,,,,,,
,,,,,,,,,,,
Jan-1950,2130,15102,152935,4933,,,,,,,
,,,,,,,,,,,
Feb-1950,2328,11499,139127,4969,,,,,,,
,,,,,,,,,,,
Mar-1950,2153,14614,151301,4881,,,,,,,
,,,,,,,,,,,
Apr-1950,2968,15336,149147,4972,,,,,,,
,,,,,,,,,,,
May-1950,2946,13618,159558,5147,,,,,,,
,,,,,,,,,,,
Jun-1950,3095,14931,161305,5377,,,,,,,
,,,,,,,,,,,
Jul-1950,3274,15076,170058,5486,,,,,,,
,,,,,,,,,,,
Aug-1950,3096,15539,176192,5684,,,,,,,
,,,,,,,,,,,
Sep-1950,2654,15760,176698,5890,,,,,,,
,,,,,,,,,,,
Oct-1950,4033,15809,183011,5904,,,,,,,
,,,,,,,,,,,
Nov-1950,3229,13992,176782,5893,,,,,,,
,,,,,,,,,,,
Dec-1950,2917,16438,177460,5725,,,,,,,
,,,,,,,,,,,
Jan-1951,2913,15472,183437,5917,,,,,,,
,,,,,,,,,,,
Feb-1951,2471,13096,166163,5934,,,,,,,
,,,,,,,,,,,
Mar-1951,2640,14971,187774,6057,,,,,,,
,,,,,,,,,,,
Apr-1951,3615,15319,183860,6129,,,,,,,
,,,,,,,,,,,
May-1951,1791,16051,191601,6181,,,,,,,
,,,,,,,,,,,
Jun-1951,2342,16889,184064,6135,,,,,,,
,,,,,,,,,,,
Jul-1951,2320,16940,190626,6149,,,,,,,
,,,,,,,,,,,
Aug-1951,2361,16404,193537,6243,,,,,,,
,,,,,,,,,,,
Sep-1951,2199,15000,188016,6267,,,,,,,
,,,,,,,,,,,
Oct-1951,1947,13054,198163,6392,,,,,,,
,,,,,,,,,,,
Nov-1951,1858,12760,188499,6283,,,,,,,
,,,,,,,,,,,
Dec-1951,2147,13117,191971,6193,,,,,,,
,,,,,,,,,,,
Jan-1952,2303,15123,192848,6221,,,,,,,
,,,,,,,,,,,
Feb-1952,2211,14228,184818,6373,,,,,,,
,,,,,,,,,,,
Mar-1952,2939,15817,197121,6359,,,,,,,
,,,,,,,,,,,
Apr-1952,3340,16170,192936,6431,,,,,,,
,,,,,,,,,,,
May-1952,1718,16903,157748,5089,,,,,,,
,,,,,,,,,,,
Jun-1952,2388,17434,185692,6190,,,,,,,
,,,,,,,,,,,
Jul-1952,1876,18519,188985,6096,,,,,,,
,,,,,,,,,,,
Aug-1952,1966,19596,192768,6218,,,,,,,
,,,,,,,,,,,
Sep-1952,1664,18459,195603,6520,,,,,,,
,,,,,,,,,,,
Oct-1952,1526,19948,201581,6503,,,,,,,
,,,,,,,,,,,
Nov-1952,1805,18709,193832,6461,,,,,,,
,,,,,,,,,,,
Dec-1952,2960,18685,205904,6642,,,,,,,
,,,,,,,,,,,
Jan-1953,2211,19098,203211,6555,,,,,,,
,,,,,,,,,,,
Feb-1953,2011,16400,183183,6542,,,,,,,
,,,,,,,,,,,
Mar-1953,2171,20320,202024,6517,,,,,,,
,,,,,,,,,,,
Apr-1953,2833,18839,191953,6398,,,,,,,
,,,,,,,,,,,
May-1953,1611,21677,198117,6391,,,,,,,
,,,,,,,,,,,
Jun-1953,1824,21207,197630,6588,,,,,,,
,,,,,,,,,,,
Jul-1953,1232,19513,204711,6604,,,,,,,
,,,,,,,,,,,
Aug-1953,1321,20847,204490,6596,,,,,,,
,,,,,,,,,,,
Sep-1953,1109,20757,196571,6552,,,,,,,
,,,,,,,,,,,
Oct-1953,1178,19806,193726,6249,,,,,,,
,,,,,,,,,,,
Nov-1953,1052,19444,188116,6271,,,,,,,
,,,,,,,,,,,
Dec-1953,1378,18547,193350,6237,,,,,,,
,,,,,,,,,,,
Jan-1954,1587,19141,193437,6240,,,,,,,
,,,,,,,,,,,
Feb-1954,795,17395,178644,6380,,,,,,,
,,,,,,,,,,,
Mar-1954,873,20260,201763,6508,,,,,,,
,,,,,,,,,,,
Apr-1954,1418,17229,198502,6617,,,,,,,
,,,,,,,,,,,
May-1954,1258,21957,200627,6472,,,,,,,
,,,,,,,,,,,
Jun-1954,1372,18728,194974,6499,,,,,,,
,,,,,,,,,,,
Jul-1954,1073,22448,194098,6261,,,,,,,
,,,,,,,,,,,
Aug-1954,1349,20589,190388,6142,,,,,,,
,,,,,,,,,,,
Sep-1954,509,20168,184325,6144,,,,,,,
,,,,,,,,,,,
Oct-1954,1521,19893,189724,6120,,,,,,,
,,,,,,,,,,,
Nov-1954,1047,19082,190372,6346,,,,,,,
,,,,,,,,,,,
Dec-1954,797,22589,198134,6391,,,,,,,
,,,,,,,,,,,
Jan-1955,381,22922,209601,6761,,,,,,,
,,,,,,,,,,,
Feb-1955,976,21033,191342,6834,,,,,,,
,,,,,,,,,,,
Mar-1955,833,22989,213453,6886,,,,,,,
,,,,,,,,,,,
Apr-1955,1431,20907,206668,6889,,,,,,,
,,,,,,,,,,,
May-1955,1166,23017,207067,6680,,,,,,,
,,,,,,,,,,,
Jun-1955,1053,22934,197844,6595,,,,,,,
,,,,,,,,,,,
Jul-1955,887,25788,205614,6633,,,,,,,
,,,,,,,,,,,
Aug-1955,1191,23406,206619,6665,,,,,,,
,,,,,,,,,,,
Sep-1955,870,24882,202037,6735,,,,,,,
,,,,,,,,,,,
Oct-1955,871,25439,211866,6834,,,,,,,
,,,,,,,,,,,
Nov-1955,872,24685,210454,7015,,,,,,,
,,,,,,,,,,,
Dec-1955,1040,27419,221863,7157,,,,,,,
,,,,,,,,,,,
Jan-1956,994,24944,223125,7198,,,,,,,
,,,,,,,,,,,
Feb-1956,501,24585,209078,7210,,,,,,,
,,,,,,,,,,,
Mar-1956,1155,28942,225645,7279,,,,,,,
,,,,,,,,,,,
Apr-1956,610,24462,214412,7147,,,,,,,
,,,,,,,,,,,
May-1956,1236,29074,218942,7063,,,,,,,
,,,,,,,,,,,
Jun-1956,857,29606,213010,7100,,,,,,,
,,,,,,,,,,,
Jul-1956,748,33593,219770,7089,,,,,,,
,,,,,,,,,,,
Aug-1956,1179,31029,223035,7195,,,,,,,
,,,,,,,,,,,
Sep-1956,805,31281,211585,7053,,,,,,,
,,,,,,,,,,,
Oct-1956,1444,31123,215570,6954,,,,,,,
,,,,,,,,,,,
Nov-1956,8551,26123,214438,7148,,,,,,,
,,,,,,,,,,,
Dec-1956,10544,27071,228673,7377,,,,,,,
,,,,,,,,,,,
Jan-1957,7566,25255,231631,7472,,,,,,,
,,,,,,,,,,,
Feb-1957,7909,22119,214967,7677,,,,,,,
,,,,,,,,,,,
Mar-1957,14100,26320,238490,7693,,,,,,,
,,,,,,,,,,,
Apr-1957,9232,27716,226392,7546,,,,,,,
,,,,,,,,,,,
May-1957,3698,33159,230466,7434,,,,,,,
,,,,,,,,,,,
Jun-1957,1745,35045,213302,7110,,,,,,,
,,,,,,,,,,,
Jul-1957,1197,37736,212781,6864,,,,,,,
,,,,,,,,,,,
Aug-1957,1036,40275,210150,6779,,,,,,,
,,,,,,,,,,,
Sep-1957,739,32161,206777,6893,,,,,,,
,,,,,,,,,,,
Oct-1957,1007,32718,212055,6840,,,,,,,
,,,,,,,,,,,
Nov-1957,926,28225,205249,6842,,,,,,,
,,,,,,,,,,,
Dec-1957,1088,32526,214641,6924,,,,,,,
,,,,,,,,,,,
Jan-1958,425,31747,213280,6880,,,,,,,
,,,,,,,,,,,
Feb-1958,213,23232,190947,6820,,,,,,,
,,,,,,,,,,,
Mar-1958,838,31366,194580,6277,,,,,,,
,,,,,,,,,,,
Apr-1958,643,25835,189014,6300,,,,,,,
,,,,,,,,,,,
May-1958,503,28972,193205,6232,,,,,,,
,,,,,,,,,,,
Jun-1958,216,28802,190172,6339,,,,,,,
,,,,,,,,,,,
Jul-1958,308,26916,203701,6571,,,,,,,
,,,,,,,,,,,
Aug-1958,334,29865,215030,6936,,,,,,,
,,,,,,,,,,,
Sep-1958,170,29927,212642,7088,,,,,,,
,,,,,,,,,,,
Oct-1958,330,28885,215887,6964,,,,,,,
,,,,,,,,,,,
Nov-1958,292,29026,209252,6975,,,,,,,
,,,,,,,,,,,
Dec-1958,74,33434,221277,7138,,,,,,,
,,,,,,,,,,,
Jan-1959,352,28664,223926,7223,,,,,,,
,,,,,,,,,,,
Feb-1959,97,29467,201435,7194,,,,,,,
,,,,,,,,,,,
Mar-1959,178,28113,222839,7188,,,,,,,
,,,,,,,,,,,
Apr-1959,230,22270,217685,7256,,,,,,,
,,,,,,,,,,,
May-1959,267,29089,223806,7220,,,,,,,
,,,,,,,,,,,
Jun-1959,192,36147,212489,7083,,,,,,,
,,,,,,,,,,,
Jul-1959,174,27510,210311,6784,,,,,,,
,,,,,,,,,,,
Aug-1959,237,29943,209733,6766,,,,,,,
,,,,,,,,,,,
Sep-1959,151,29486,205700,6857,,,,,,,
,,,,,,,,,,,
Oct-1959,258,30355,214248,6911,,,,,,,
,,,,,,,,,,,
Nov-1959,132,29421,209449,6982,,,,,,,
,,,,,,,,,,,
Dec-1959,258,31879,222969,7193,,,,,,,
,,,,,,,,,,,
Jan-1960,264,28610,224140,7230,,,,,,,
,,,,,,,,,,,
Feb-1960,298,29730,209986,7241,,,,,,,
,,,,,,,,,,,
Mar-1960,260,29292,220977,7128,,,,,,,
,,,,,,,,,,,
Apr-1960,270,33877,211132,7038,,,,,,,
,,,,,,,,,,,
May-1960,127,30571,212296,6848,,,,,,,
,,,,,,,,,,,
Jun-1960,436,32730,208161,6939,,,,,,,
,,,,,,,,,,,
Jul-1960,248,31191,212645,6860,,,,,,,
,,,,,,,,,,,
Aug-1960,86,32768,215145,6940,,,,,,,
,,,,,,,,,,,
Sep-1960,234,32691,209119,6971,,,,,,,
,,,,,,,,,,,
Oct-1960,352,31458,215687,6958,,,,,,,
,,,,,,,,,,,
Nov-1960,0,29980,213992,7133,,,,,,,
,,,,,,,,,,,
Dec-1960,512,28677,221653,7150,,,,,,,
,,,,,,,,,,,
Jan-1961,135,33688,223497,7210,,,,,,,
,,,,,,,,,,,
Feb-1961,295,28768,204274,7296,,,,,,,
,,,,,,,,,,,
Mar-1961,339,33276,231596,7471,,,,,,,
,,,,,,,,,,,
Apr-1961,316,26969,219846,7328,,,,,,,
,,,,,,,,,,,
May-1961,229,33566,221553,7147,,,,,,,
,,,,,,,,,,,
Jun-1961,435,27186,213084,7103,,,,,,,
,,,,,,,,,,,
Jul-1961,178,37975,215699,6958,,,,,,,
,,,,,,,,,,,
Aug-1961,309,34048,220218,7104,,,,,,,
,,,,,,,,,,,
Sep-1961,130,33147,209848,6995,,,,,,,
,,,,,,,,,,,
Oct-1961,190,33585,220942,7127,,,,,,,
,,,,,,,,,,,
Nov-1961,400,30119,214566,7152,,,,,,,
,,,,,,,,,,,
Dec-1961,271,29221,226635,7311,,,,,,,
,,,,,,,,,,,
Jan-1962,99,36349,227756,7347,,,,,,,
,,,,,,,,,,,
Feb-1962,141,31603,209072,7467,,,,,,,
,,,,,,,,,,,
Mar-1962,208,31761,228661,7376,,,,,,,
,,,,,,,,,,,
Apr-1962,87,32249,221737,7391,,,,,,,
,,,,,,,,,,,
May-1962,340,34181,222969,7193,,,,,,,
,,,,,,,,,,,
Jun-1962,42,33817,217712,7257,,,,,,,
,,,,,,,,,,,
Jul-1962,190,35936,224018,7226,,,,,,,
,,,,,,,,,,,
Aug-1962,184,40293,224240,7234,,,,,,,
,,,,,,,,,,,
Sep-1962,91,34407,219589,7320,,,,,,,
,,,,,,,,,,,
Oct-1962,3,35828,228380,7367,,,,,,,
,,,,,,,,,,,
Nov-1962,260,33266,223231,7441,,,,,,,
,,,,,,,,,,,
Dec-1962,145,31349,228824,7381,,,,,,,
,,,,,,,,,,,
Jan-1963,179,41043,226420,7304,,,,,,,
,,,,,,,,,,,
Feb-1963,116,30898,212437,7587,,,,,,,
,,,,,,,,,,,
Mar-1963,95,36070,234289,7558,,,,,,,
,,,,,,,,,,,
Apr-1963,170,32593,228270,7609,,,,,,,
,,,,,,,,,,,
May-1963,140,34484,234499,7564,,,,,,,
,,,,,,,,,,,
Jun-1963,123,31872,226853,7562,,,,,,,
,,,,,,,,,,,
Jul-1963,146,38214,235144,7585,,,,,,,
,,,,,,,,,,,
Aug-1963,178,36666,236830,7640,,,,,,,
,,,,,,,,,,,
Sep-1963,100,34898,225207,7507,,,,,,,
,,,,,,,,,,,
Oct-1963,179,31362,233610,7536,,,,,,,
,,,,,,,,,,,
Nov-1963,106,34241,226321,7544,,,,,,,
,,,,,,,,,,,
Dec-1963,166,30319,232843,7511,,,,,,,
,,,,,,,,,,,
Jan-1964,116,39635,236337,7624,,,,,,,
,,,,,,,,,,,
Feb-1964,98,32209,222947,7688,,,,,,,
,,,,,,,,,,,
Mar-1964,233,36945,239068,7712,,,,,,,
,,,,,,,,,,,
Apr-1964,100,33091,232185,7739,,,,,,,
,,,,,,,,,,,
May-1964,174,35968,234742,7572,,,,,,,
,,,,,,,,,,,
Jun-1964,152,34387,226808,7560,,,,,,,
,,,,,,,,,,,
Jul-1964,90,43820,231648,7473,,,,,,,
,,,,,,,,,,,
Aug-1964,118,40743,230926,7449,,,,,,,
,,,,,,,,,,,
Sep-1964,71,36853,225965,7532,,,,,,,
,,,,,,,,,,,
Oct-1964,88,39224,236304,7623,,,,,,,
,,,,,,,,,,,
Nov-1964,0,34102,229029,7634,,,,,,,
,,,,,,,,,,,
Dec-1964,123,31666,240863,7770,,,,,,,
,,,,,,,,,,,
Jan-1965,89,37344,240946,7773,,,,,,,
,,,,,,,,,,,
Feb-1965,45,32685,218612,7808,,,,,,,
,,,,,,,,,,,
Mar-1965,3,41398,243763,7863,,,,,,,
,,,,,,,,,,,
Apr-1965,187,38110,236844,7895,,,,,,,
,,,,,,,,,,,
May-1965,0,38961,238253,7686,,,,,,,
,,,,,,,,,,,
Jun-1965,68,39912,232440,7748,,,,,,,
,,,,,,,,,,,
Jul-1965,421,40691,237606,7665,,,,,,,
,,,,,,,,,,,
Aug-1965,0,40770,240180,7748,,,,,,,
,,,,,,,,,,,
Sep-1965,0,43152,222529,7418,,,,,,,
,,,,,,,,,,,
Oct-1965,182,39111,244122,7875,,,,,,,
,,,,,,,,,,,
Nov-1965,94,32024,239635,7988,,,,,,,
,,,,,,,,,,,
Dec-1965,8,27882,253584,8180,,,,,,,
,,,,,,,,,,,
Jan-1966,135,41956,249459,8047,,,,,,,
,,,,,,,,,,,
Feb-1966,0,34658,230733,8240,,,,,,,
,,,,,,,,,,,
Mar-1966,108,38765,257107,8294,,,,,,,
,,,,,,,,,,,
Apr-1966,290,36508,248155,8272,,,,,,,
,,,,,,,,,,,
May-1966,1,37330,258677,8344,,,,,,,
,,,,,,,,,,,
Jun-1966,130,38959,250391,8346,,,,,,,
,,,,,,,,,,,
Jul-1966,240,39062,255121,8230,,,,,,,
,,,,,,,,,,,
Aug-1966,186,41458,255812,8252,,,,,,,
,,,,,,,,,,,
Sep-1966,83,36004,247632,8254,,,,,,,
,,,,,,,,,,,
Oct-1966,95,36019,258008,8323,,,,,,,
,,,,,,,,,,,
Nov-1966,88,34413,252825,8427,,,,,,,
,,,,,,,,,,,
Dec-1966,121,31988,263843,8511,,,,,,,
,,,,,,,,,,,
Jan-1967,27,41107,265577,8567,,,,,,,
,,,,,,,,,,,
Feb-1967,0,29220,241366,8620,,,,,,,
,,,,,,,,,,,
Mar-1967,87,37585,264854,8544,,,,,,,
,,,,,,,,,,,
Apr-1967,251,38219,254252,8475,,,,,,,
,,,,,,,,,,,
May-1967,0,39880,259923,8385,,,,,,,
,,,,,,,,,,,
Jun-1967,1830,33640,256174,8539,,,,,,,
,,,,,,,,,,,
Jul-1967,8526,30092,283776,9154,,,,,,,
,,,,,,,,,,,
Aug-1967,8188,31458,292495,9435,,,,,,,
,,,,,,,,,,,
Sep-1967,6033,31458,272845,9095,,,,,,,
,,,,,,,,,,,
Oct-1967,1421,31890,278997,9000,,,,,,,
,,,,,,,,,,,
Nov-1967,124,29622,269348,8978,,,,,,,
,,,,,,,,,,,
Dec-1967,54,37478,276135,8908,,,,,,,
,,,,,,,,,,,
Jan-1968,250,30537,279868,9028,,,,,,,
,,,,,,,,,,,
Feb-1968,283,28152,270425,9325,,,,,,,
,,,,,,,,,,,
Mar-1968,41,35506,288882,9319,,,,,,,
,,,,,,,,,,,
Apr-1968,144,32459,273690,9123,,,,,,,
,,,,,,,,,,,
May-1968,87,37462,285355,9205,,,,,,,
,,,,,,,,,,,
Jun-1968,226,40212,274320,9144,,,,,,,
,,,,,,,,,,,
Jul-1968,2,45717,283836,9156,,,,,,,
,,,,,,,,,,,
Aug-1968,86,43243,283154,9134,,,,,,,
,,,,,,,,,,,
Sep-1968,76,42474,267960,8932,,,,,,,
,,,,,,,,,,,
Oct-1968,111,45912,276396,8916,,,,,,,
,,,,,,,,,,,
Nov-1968,402,40779,269070,8969,,,,,,,
,,,,,,,,,,,
Dec-1968,94,49870,276086,8906,,,,,,,
,,,,,,,,,,,
Jan-1969,0,35442,275528,8888,,,,,,,
,,,,,,,,,,,
Feb-1969,220,36537,249984,8928,,,,,,,
,,,,,,,,,,,
Mar-1969,176,45654,280705,9055,,,,,,,
,,,,,,,,,,,
Apr-1969,93,43568,277140,9238,,,,,,,
,,,,,,,,,,,
May-1969,216,44137,290036,9356,,,,,,,
,,,,,,,,,,,
Jun-1969,1,40960,288935,9631,,,,,,,
,,,,,,,,,,,
Jul-1969,0,43209,288145,9295,,,,,,,
,,,,,,,,,,,
Aug-1969,144,44887,281077,9067,,,,,,,
,,,,,,,,,,,
Sep-1969,83,42364,278850,9295,,,,,,,
,,,,,,,,,,,
Oct-1969,162,45042,285603,9213,,,,,,,
,,,,,,,,,,,
Nov-1969,240,43775,280380,9346,,,,,,,
,,,,,,,,,,,
Dec-1969,101,48539,295368,9528,,,,,,,
,,,,,,,,,,,
Jan-1970,93,43795,293818,9478,,,,,,,
,,,,,,,,,,,
Feb-1970,0,41114,267960,9570,,,,,,,
,,,,,,,,,,,
Mar-1970,70,46350,294748,9508,,,,,,,
,,,,,,,,,,,
Apr-1970,94,35142,287730,9591,,,,,,,
,,,,,,,,,,,
May-1970,0,37468,295213,9523,,,,,,,
,,,,,,,,,,,
Jun-1970,302,41178,280770,9359,,,,,,,
,,,,,,,,,,,
Jul-1970,97,39056,285274,9202,,,,,,,
,,,,,,,,,,,
Aug-1970,11,36515,296360,9560,,,,,,,
,,,,,,,,,,,
Sep-1970,0,40310,295590,9853,,,,,,,
,,,,,,,,,,,
Oct-1970,1962,36875,310403,10013,,,,,,,
,,,,,,,,,,,
Nov-1970,1616,37815,301320,10044,,,,,,,
,,,,,,,,,,,
Dec-1970,746,47675,308264,9944,,,,,,,
,,,,,,,,,,,
Jan-1971,0,34772,299305,9655,,,,,,,
,,,,,,,,,,,
Feb-1971,2,37655,272412,9729,,,,,,,
,,,,,,,,,,,
Mar-1971,1,43235,302808,9768,,,,,,,
,,,,,,,,,,,
Apr-1971,313,45207,293070,9769,,,,,,,
,,,,,,,,,,,
May-1971,8,46540,298995,9645,,,,,,,
,,,,,,,,,,,
Jun-1971,0,50337,288120,9604,,,,,,,
,,,,,,,,,,,
Jul-1971,0,54768,293121,9456,,,,,,,
,,,,,,,,,,,
Aug-1971,0,58755,291741,9411,,,,,,,
,,,,,,,,,,,
Sep-1971,143,57012,274050,9135,,,,,,,
,,,,,,,,,,,
Oct-1971,36,59617,284022,9162,,,,,,,
,,,,,,,,,,,
Nov-1971,0,59557,274170,9139,,,,,,,
,,,,,,,,,,,
Dec-1971,0,65962,282100,9100,,,,,,,
,,,,,,,,,,,
Jan-1972,0,63419,282534,9114,,,,,,,
,,,,,,,,,,,
Feb-1972,0,60344,270744,9336,,,,,,,
,,,,,,,,,,,
Mar-1972,0,64066,293322,9462,,,,,,,
,,,,,,,,,,,
Apr-1972,187,60129,285390,9513,,,,,,,
,,,,,,,,,,,
May-1972,0,66958,298034,9614,,,,,,,
,,,,,,,,,,,
Jun-1972,0,62544,285660,9522,,,,,,,
,,,,,,,,,,,
Jul-1972,0,67635,294376,9496,,,,,,,
,,,,,,,,,,,
Aug-1972,0,65463,293973,9483,,,,,,,
,,,,,,,,,,,
Sep-1972,0,70909,285240,9508,,,,,,,
,,,,,,,,,,,
Oct-1972,0,78003,293930,9482,,,,,,,
,,,,,,,,,,,
Nov-1972,0,68978,282780,9426,,,,,,,
,,,,,,,,,,,
Dec-1972,0,82687,289385,9335,,,,,,,
,,,,,,,,,,,
Jan-1973,0,84693,284454,9176,,,,,,,
,,,,,,,,,,,
Feb-1973,0,80433,263066,9395,,,,,,,
,,,,,,,,,,,
Mar-1973,0,98021,287430,9272,,,,,,,
,,,,,,,,,,,
Apr-1973,0,91459,278757,9292,,,,,,,
,,,,,,,,,,,
May-1973,128,99654,287134,9262,,,,,,,
,,,,,,,,,,,
Jun-1973,0,96613,276418,9214,,,,,,,
,,,,,,,,,,,
Jul-1973,232,108530,285731,9217,,,,,,,
,,,,,,,,,,,
Aug-1973,0,111368,284225,9169,,,,,,,
,,,,,,,,,,,
Sep-1973,160,104117,271959,9065,,,,,,,
,,,,,,,,,,,
Oct-1973,0,115905,285940,9224,,,,,,,
,,,,,,,,,,,
Nov-1973,0,103570,274829,9161,,,,,,,
,,,,,,,,,,,
Dec-1973,177,89633,280960,9063,,,,,,,
,,,,,,,,,,,
Jan-1974,534,73839,276950,8934,,,,,,,
,,,,,,,,,,,
Feb-1974,281,62940,255982,9142,,,,,,,
,,,,,,,,,,,
Mar-1974,0,76329,277927,8965,,,,,,,
,,,,,,,,,,,
Apr-1974,15,98011,268619,8954,,,,,,,
,,,,,,,,,,,
May-1974,200,121139,276228,8911,,,,,,,
,,,,,,,,,,,
Jun-1974,44,117747,263407,8780,,,,,,,
,,,,,,,,,,,
Jul-1974,0,126835,272184,8780,,,,,,,
,,,,,,,,,,,
Aug-1974,0,121634,269665,8699,,,,,,,
,,,,,,,,,,,
Sep-1974,0,113907,253288,8443,,,,,,,
,,,,,,,,,,,
Oct-1974,0,118096,266949,8611,,,,,,,
,,,,,,,,,,,
Nov-1974,0,118739,257064,8569,,,,,,,
,,,,,,,,,,,
Dec-1974,0,119939,264322,8527,,,,,,,
,,,,,,,,,,,
Jan-1975,836,124901,262104,8455,,,,,,,
,,,,,,,,,,,
Feb-1975,942,107194,240552,8591,,,,,,,
,,,,,,,,,,,
Mar-1975,349,113345,263297,8493,,,,,,,
,,,,,,,,,,,
Apr-1975,19,101338,253698,8457,,,,,,,
,,,,,,,,,,,
May-1975,0,108072,259742,8379,,,,,,,
,,,,,,,,,,,
Jun-1975,0,117142,252624,8421,,,,,,,
,,,,,,,,,,,
Jul-1975,0,129966,258408,8336,,,,,,,
,,,,,,,,,,,
Aug-1975,0,142016,255712,8249,,,,,,,
,,,,,,,,,,,
Sep-1975,0,140675,248389,8280,,,,,,,
,,,,,,,,,,,
Oct-1975,0,136068,258057,8324,,,,,,,
,,,,,,,,,,,
Nov-1975,0,138703,248336,8278,,,,,,,
,,,,,,,,,,,
Dec-1975,0,138761,255860,8254,,,,,,,
,,,,,,,,,,,
Jan-1976,0,142427,255185,8232,,,,,,,
,,,,,,,,,,,
Feb-1976,0,122030,238705,8231,,,,,,,
,,,,,,,,,,,
Mar-1976,45,146879,255198,8232,,,,,,,
,,,,,,,,,,,
Apr-1976,0,143687,242310,8077,,,,,,,
,,,,,,,,,,,
May-1976,1,144748,251860,8125,,,,,,,
,,,,,,,,,,,
Jun-1976,0,168833,242833,8094,,,,,,,
,,,,,,,,,,,
Jul-1976,0,179540,251942,8127,,,,,,,
,,,,,,,,,,,
Aug-1976,380,172221,251429,8111,,,,,,,
,,,,,,,,,,,
Sep-1976,0,176237,244489,8150,,,,,,,
,,,,,,,,,,,
Oct-1976,563,176357,249962,8063,,,,,,,
,,,,,,,,,,,
Nov-1976,900,178367,242388,8080,,,,,,,
,,,,,,,,,,,
Dec-1976,1052,183686,249879,8061,,,,,,,
,,,,,,,,,,,
Jan-1977,412,194772,243478,7854,,,,,,,
,,,,,,,,,,,
Feb-1977,1651,186454,227890,8139,,,,,,,
,,,,,,,,,,,
Mar-1977,995,207674,250778,8090,,,,,,,
,,,,,,,,,,,
Apr-1977,505,204618,244347,8145,,,,,,,
,,,,,,,,,,,
May-1977,2760,211354,250317,8075,,,,,,,
,,,,,,,,,,,
Jun-1977,292,211959,243058,8102,,,,,,,
,,,,,,,,,,,
Jul-1977,1646,219104,251244,8105,,,,,,,
,,,,,,,,,,,
Aug-1977,1145,198245,257510,8307,,,,,,,
,,,,,,,,,,,
Sep-1977,2719,192880,254392,8480,,,,,,,
,,,,,,,,,,,
Oct-1977,2645,201559,265776,8573,,,,,,,
,,,,,,,,,,,
Nov-1977,1355,189632,257378,8579,,,,,,,
,,,,,,,,,,,
Dec-1977,2130,196126,263097,8487,,,,,,,
,,,,,,,,,,,
Jan-1978,3048,193438,259150,8360,,,,,,,
,,,,,,,,,,,
Feb-1978,226,161396,234544,8377,,,,,,,
,,,,,,,,,,,
Mar-1978,1855,191064,270324,8720,,,,,,,
,,,,,,,,,,,
Apr-1978,2749,168809,264526,8818,,,,,,,
,,,,,,,,,,,
May-1978,3834,177538,273583,8825,,,,,,,
,,,,,,,,,,,
Jun-1978,5851,194051,264974,8832,,,,,,,
,,,,,,,,,,,
Jul-1978,4276,196202,271442,8756,,,,,,,
,,,,,,,,,,,
Aug-1978,5636,199472,271502,8758,,,,,,,
,,,,,,,,,,,
Sep-1978,7536,211600,264010,8800,,,,,,,
,,,,,,,,,,,
Oct-1978,8418,204449,273420,8820,,,,,,,
,,,,,,,,,,,
Nov-1978,6533,204930,262233,8741,,,,,,,
,,,,,,,,,,,
Dec-1978,7766,216877,268508,8662,,,,,,,
,,,,,,,,,,,
Jan-1979,5484,214681,262716,8475,,,,,,,
,,,,,,,,,,,
Feb-1979,8076,182629,238710,8525,,,,,,,
,,,,,,,,,,,
Mar-1979,11458,197601,266635,8601,,,,,,,
,,,,,,,,,,,
Apr-1979,7790,186339,256593,8553,,,,,,,
,,,,,,,,,,,
May-1979,5314,194079,266631,8601,,,,,,,
,,,,,,,,,,,
Jun-1979,7038,199418,252949,8432,,,,,,,
,,,,,,,,,,,
